hand_id,bankroll_bb
256672555997,0.0000
256672559843,0.0000
256672562017,0.0000
256672566787,0.0000
256672569320,0.0000
256672573142,0.0000
256672575450,0.0000
256672575973,0.0000
256672579494,0.0000
256672582016,0.0000
256672584747,0.0000
256672587524,0.0000
256672590036,0.0000
256672595155,0.0000
256672597392,0.0000
256672600408,0.0000
256672603032,0.0000
256672604747,0.0000
256672540773,0.0000
256672545249,0.0000
256672546743,0.0000
256672551101,0.0000
256672605634,0.0000
256672608382,0.0000
256672610884,0.0000
256672658502,0.0000
256672661214,0.0000
256672663300,0.0000
256672666705,0.0000
256672670589,0.0000
256672672805,0.0000
256672674856,0.0000
256672677893,0.0000
256672681203,0.0000
256672683799,0.0000
256672686247,0.0000
256672689408,0.0000
256672691524,0.0000
256672694750,0.0000
256672697031,0.0000
256672699303,0.0000
256672705264,0.0000
256672707097,0.0000
256672712557,0.0000
256672713621,0.0000
256672715131,0.0000
256672717592,0.0000
256672719501,0.0000
256672721114,0.0000
256672723532,0.0000
256672725748,0.0000
256672727790,0.0000
256672729095,0.0000
256672731134,0.0000
256672732336,0.0000
256672733013,0.0000
256672735704,0.0000
256672738554,0.0000
256672741231,0.0000
256672742851,0.0000
256672746193,0.0000
256672747682,0.0000
256672749891,0.0000
256672751087,0.0000
256672752621,0.0000
256672753991,0.0000
256672755015,0.0000
256672757614,0.0000
256672759674,0.0000
256672762121,0.0000
256672765216,0.0000
256672768657,0.0000
256672770045,0.0000
256672771521,0.0000
256672772935,0.0000
256672776330,0.0000
256672779366,0.0000
256672780533,0.0000
256672784823,0.0000
256672789830,0.0000
256672792444,0.0000
256672794761,0.0000
256672798010,0.0000
256672800743,0.0000
256672803188,0.0000
256672805254,0.0000
256672806312,0.0000
256672860842,0.0000
256672863558,0.0000
256672864230,0.0000
256672865735,0.0000
256672867130,0.0000
256672867820,0.0000
256672868400,0.0000
256672869061,0.0000
256672870819,0.0000
256672874273,0.0000
256672875113,0.0000
256672876016,0.0000
256672878451,0.0000
256672879914,0.0000
256672881409,0.0000
256672883388,0.0000
256672884749,0.0000
256672885948,0.0000
256672887579,0.0000
256672888129,0.0000
256672889931,0.0000
256672649266,0.0000
256672653455,0.0000
256672810193,0.0000
