0.010000,0.000000,0.090000,0.070000,0.030400,0.270900,0.621500,0.741700,0.728400,0.426200,0.622500,0.553900,0.138800
0.000000,0.000000,0.860000,0.420000,0.109700,0.277700,0.076500,0.730000,0.000000,0.000000,0.000000,0.000000,0.000000
0.720000,0.402900,0.000000,0.167500,0.089200,0.271000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.237600,0.526300,0.150800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.778000,0.036300,0.000000,0.000000,0.010000,0.039200,0.134600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.583500,0.000000,0.000000,0.000000,0.000000,0.230000,0.199500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.149000,0.000000,0.000000,0.000000,0.000000,0.000000,0.101300,0.183800,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.236200,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.392200,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.722700,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.870500,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.993900,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.998800
