1.000000,1.000000,1.000000,1.000000,0.999100,0.997000,0.985300,0.985400,0.824000,0.980700,0.846100,0.594900,0.474600
1.000000,1.000000,1.000000,0.995700,0.968400,0.352400,0.370000,0.070000,0.440000,0.040000,0.050000,0.000000,0.030000
1.000000,0.999900,0.999900,0.974900,0.838300,0.317200,0.670000,0.080000,0.000000,0.000000,0.030000,0.000000,0.000000
1.000000,0.600900,0.130000,0.999900,0.706000,0.265200,0.490000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.991400,0.090000,0.020000,0.050000,1.000000,0.214000,0.670500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.367600,0.010000,0.000000,0.000000,0.000000,0.999900,0.934100,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.165200,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.999800,0.240000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.999900,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.999700,0.000000,0.000000,0.000000
0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.999800,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
