ctx,pair,stack_bb,available
SRP,UTG-BB,25,0
SRP,UTG-BB,60,0
SRP,UTG-BB,100,1
SRP,UTG-BB,150,1
SRP,HJ-BB,25,0
SRP,HJ-BB,60,0
SRP,HJ-BB,100,1
SRP,HJ-BB,150,1
SRP,CO-BB,25,0
SRP,CO-BB,60,0
SRP,CO-BB,100,1
SRP,CO-BB,150,1
SRP,BTN-BB,25,0
SRP,BTN-BB,60,0
SRP,BTN-BB,100,1
SRP,BTN-BB,150,1
SRP,BTN-SB,25,0
SRP,BTN-SB,60,0
SRP,BTN-SB,100,1
SRP,BTN-SB,150,1
