topology,opener,defender,stack_bb,rake_tier,n,menus
3bet_hu,HJ,BTN,200,nl10_5pct_1bbcap,2,2
3bet_hu,HJ,CO,12,nl10_5pct_1bbcap,3,1
3bet_hu,HJ,CO,15,nl10_5pct_1bbcap,3,1
3bet_hu,HJ,CO,18,nl10_5pct_1bbcap,3,1
3bet_hu,HJ,CO,20,nl10_5pct_1bbcap,3,1
3bet_hu,HJ,CO,30,nl10_5pct_1bbcap,3,2
3bet_hu,HJ,CO,40,nl10_5pct_1bbcap,3,2
3bet_hu,HJ,CO,50,nl10_5pct_1bbcap,3,2
3bet_hu,HJ,CO,70,nl10_5pct_1bbcap,3,1
3bet_hu,HJ,CO,100,nl10_5pct_1bbcap,3,2
3bet_hu,HJ,CO,150,nl10_5pct_1bbcap,3,2
3bet_hu,HJ,CO,200,nl10_5pct_1bbcap,3,2
3bet_hu,HJ,HJ,12,nl10_5pct_1bbcap,4,1
3bet_hu,HJ,HJ,15,nl10_5pct_1bbcap,4,1
3bet_hu,HJ,HJ,18,nl10_5pct_1bbcap,4,1
3bet_hu,HJ,HJ,20,nl10_5pct_1bbcap,4,2
3bet_hu,HJ,HJ,30,nl10_5pct_1bbcap,4,2
3bet_hu,HJ,HJ,40,nl10_5pct_1bbcap,4,2
3bet_hu,HJ,HJ,50,nl10_5pct_1bbcap,4,2
3bet_hu,HJ,HJ,70,nl10_5pct_1bbcap,4,2
3bet_hu,HJ,HJ,100,nl10_5pct_1bbcap,4,2
3bet_hu,HJ,HJ,150,nl10_5pct_1bbcap,4,2
3bet_hu,HJ,HJ,200,nl10_5pct_1bbcap,4,2
3bet_hu,HJ,SB,12,nl10_5pct_1bbcap,3,2
3bet_hu,HJ,SB,15,nl10_5pct_1bbcap,3,2
3bet_hu,HJ,SB,18,nl10_5pct_1bbcap,3,2
3bet_hu,HJ,SB,20,nl10_5pct_1bbcap,3,2
3bet_hu,HJ,SB,30,nl10_5pct_1bbcap,2,1
3bet_hu,HJ,SB,40,nl10_5pct_1bbcap,3,2
3bet_hu,HJ,SB,50,nl10_5pct_1bbcap,2,1
3bet_hu,HJ,SB,70,nl10_5pct_1bbcap,1,1
3bet_hu,HJ,SB,100,nl10_5pct_1bbcap,2,1
3bet_hu,HJ,SB,150,nl10_5pct_1bbcap,2,1
3bet_hu,HJ,SB,200,nl10_5pct_1bbcap,2,1
3bet_hu,SB,SB,12,nl10_5pct_1bbcap,1,1
3bet_hu,SB,SB,15,nl10_5pct_1bbcap,1,1
3bet_hu,SB,SB,18,nl10_5pct_1bbcap,1,1
3bet_hu,SB,SB,20,nl10_5pct_1bbcap,1,1
3bet_hu,SB,SB,40,nl10_5pct_1bbcap,1,1
3bet_hu,SB,SB,50,nl10_5pct_1bbcap,1,1
3bet_hu,UTG,BB,12,nl10_5pct_1bbcap,2,2
3bet_hu,UTG,BB,15,nl10_5pct_1bbcap,2,2
3bet_hu,UTG,BB,18,nl10_5pct_1bbcap,2,2
3bet_hu,UTG,BB,20,nl10_5pct_1bbcap,2,2
3bet_hu,UTG,BB,30,nl10_5pct_1bbcap,2,2
3bet_hu,UTG,BB,40,nl10_5pct_1bbcap,2,2
3bet_hu,UTG,BB,50,nl10_5pct_1bbcap,2,2
3bet_hu,UTG,BB,70,nl10_5pct_1bbcap,1,1
3bet_hu,UTG,BB,100,nl10_5pct_1bbcap,2,2
3bet_hu,UTG,BB,150,nl10_5pct_1bbcap,2,2
3bet_hu,UTG,BB,200,nl10_5pct_1bbcap,2,2
3bet_hu,UTG,BTN,12,nl10_5pct_1bbcap,3,2
3bet_hu,UTG,BTN,15,nl10_5pct_1bbcap,3,2
3bet_hu,UTG,BTN,18,nl10_5pct_1bbcap,3,2
3bet_hu,UTG,BTN,20,nl10_5pct_1bbcap,3,2
3bet_hu,UTG,BTN,30,nl10_5pct_1bbcap,3,3
3bet_hu,UTG,BTN,40,nl10_5pct_1bbcap,3,2
3bet_hu,UTG,BTN,50,nl10_5pct_1bbcap,3,3
3bet_hu,UTG,BTN,70,nl10_5pct_1bbcap,2,1
3bet_hu,UTG,BTN,100,nl10_5pct_1bbcap,3,3
3bet_hu,UTG,BTN,150,nl10_5pct_1bbcap,3,3
3bet_hu,UTG,BTN,200,nl10_5pct_1bbcap,3,3
3bet_hu,UTG,CO,12,nl10_5pct_1bbcap,4,2
3bet_hu,UTG,CO,15,nl10_5pct_1bbcap,4,2
3bet_hu,UTG,CO,18,nl10_5pct_1bbcap,4,2
3bet_hu,UTG,CO,20,nl10_5pct_1bbcap,4,2
3bet_hu,UTG,CO,30,nl10_5pct_1bbcap,3,2
3bet_hu,UTG,CO,40,nl10_5pct_1bbcap,4,2
3bet_hu,UTG,CO,50,nl10_5pct_1bbcap,3,2
3bet_hu,UTG,CO,70,nl10_5pct_1bbcap,3,1
3bet_hu,UTG,CO,100,nl10_5pct_1bbcap,3,2
3bet_hu,UTG,CO,150,nl10_5pct_1bbcap,3,2
3bet_hu,UTG,CO,200,nl10_5pct_1bbcap,3,2
3bet_hu,UTG,HJ,12,nl10_5pct_1bbcap,4,1
3bet_hu,UTG,HJ,15,nl10_5pct_1bbcap,4,1
3bet_hu,UTG,HJ,18,nl10_5pct_1bbcap,4,1
3bet_hu,UTG,HJ,20,nl10_5pct_1bbcap,4,1
